"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"2X03WV";"2X03WV";"J2";"";"";
"1";"C64-TAPEPORTM";"C64-TAPEPORTM";"TAPEPORT_M";"J4";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$18";"";"";
